Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082
Random Forest,0.8211382113821138,0.8461538461538461,0.9058823529411765,0.875
Decision Tree,0.7560975609756098,0.8235294117647058,0.8235294117647058,0.8235294117647058
